#scan;iMeasureCycle=1;iMux=0;time=0.133;N=482;LocalTime=31/10/2023 13:26:53;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;IDrain^1/2
31.5;3.97E-10;32.154702;1;3.26E-07;32.154702;;0.000570964
31.9999;3.82E-10;32.30476;1;3.38E-07;32.30476;;0.000581378
32.4999;3.94E-10;32.464859;1;3.52E-07;32.464859;;0.000593296
32.9999;3.89E-10;32.614982;1;3.65E-07;32.614982;;0.000604152
33.4999;4.24E-10;32.765035;1;3.81E-07;32.765035;;0.000617252
33.9999;4.13E-10;32.939761;1;3.95E-07;32.939761;;0.00062849
34.5;4.44E-10;33.089989;1;4.08E-07;33.089989;;0.000638749
34.9999;4.44E-10;33.240037;0.999999;4.26E-07;33.240037;;0.000652687
35.5;4.38E-10;33.390177;1;4.39E-07;33.390177;;0.000662571
36;4.84E-10;33.559381;1;4.55E-07;33.559381;;0.000674537
36.4999;4.78E-10;33.709485;1;4.72E-07;33.709485;;0.000687023
37;4.95E-10;33.859529;1;4.86E-07;33.859529;;0.000697137
37.5;5.00E-10;34.009722;1;5.02E-07;34.009722;;0.00070852
37.9999;4.97E-10;34.160204;0.999999;5.17E-07;34.160204;;0.000719027
38.4999;5.01E-10;34.310236;1;5.36E-07;34.310236;;0.00073212
38.9999;5.15E-10;34.469757;1;5.54E-07;34.469757;;0.000744312
39.5;5.02E-10;34.619956;1;5.70E-07;34.619956;;0.000754983
40;5.20E-10;34.770132;1;5.89E-07;34.770132;;0.000767463
40.4999;5.20E-10;34.944519;1;6.05E-07;34.944519;;0.000777817
40.9999;5.39E-10;35.09485;1;6.19E-07;35.09485;;0.000786766
41.4999;5.36E-10;35.245029;1;6.34E-07;35.245029;;0.000796241
42;5.37E-10;35.395276;0.999999;6.53E-07;35.395276;;0.000808084
42.4999;5.44E-10;35.564249;1;6.72E-07;35.564249;;0.000819756
42.9999;5.48E-10;35.714467;1;6.89E-07;35.714467;;0.00083006
43.4999;5.52E-10;35.864632;1;7.05E-07;35.864632;;0.000839643
43.9999;5.74E-10;36.014874;1;7.22E-07;36.014874;;0.000849706
44.4999;5.90E-10;36.165145;1;7.42E-07;36.165145;;0.000861394
45;5.91E-10;36.315421;1;7.61E-07;36.315421;;0.000872353
45.5;5.87E-10;36.474621;1;7.73E-07;36.474621;;0.000879204
