#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:52:45;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2(A^1/2)
26.5;4.79E-10;31.525376;1;-8.10E-13;31.525376;;;0
26.9999;4.78E-10;31.701782;1;-1.30E-12;31.701782;;;0
27.4999;4.71E-10;31.877982;0.999999;-3.20E-13;31.877982;;;0
28;4.69E-10;32.054244;0.999999;-1.09E-12;32.054244;;;0
28.5;4.83E-10;32.230438;0.999999;-1.00E-12;32.230438;;;0
29;5.16E-10;32.406765;0.999999;-3.25E-12;32.406765;;;0
29.5;4.98E-10;32.593479;0.999999;-7.10E-13;32.593479;;;0
29.9999;4.97E-10;32.76992;1;-1.62E-12;32.76992;;;0
30.4999;4.96E-10;32.977947;1;-7.40E-13;32.977947;;;0
30.9999;5.04E-10;33.15422;0.999999;-1.45E-12;33.15422;;;0
31.5;5.21E-10;33.330682;1;-1.19E-12;33.330682;;;0
31.9999;5.37E-10;33.506986;1;-1.02E-12;33.506986;;;0
32.5;5.49E-10;33.683384;0.999999;-9.00E-13;33.683384;;;0
33;5.41E-10;33.85973;1;-1.00E-13;33.85973;;;0
33.5;5.40E-10;34.036009;1;-1.02E-12;34.036009;;;0
34;5.41E-10;34.21232;0.999999;-1.82E-12;34.21232;;;0
34.4999;5.43E-10;34.388573;0.999999;3.50E-13;34.388573;;;5.91608E-07
34.9999;5.74E-10;34.567153;0.999999;-5.50E-13;34.567153;;;0
35.5;5.80E-10;34.743513;1;-3.12E-12;34.743513;;;0
36;5.67E-10;34.944378;1;-1.68E-12;34.944378;;;0
36.5;5.78E-10;35.120821;1;-3.47E-12;35.120821;;;0
36.9999;5.92E-10;35.29719;0.999999;-3.17E-12;35.29719;;;0
37.5;6.04E-10;35.511226;1;-5.78E-12;35.511226;;;0
38;6.03E-10;35.68762;1;-4.85E-12;35.68762;;;0
38.4999;6.17E-10;35.864239;0.999999;-3.96E-12;35.864239;;;0
38.9999;6.39E-10;36.040665;0.999999;-3.32E-12;36.040665;;;0
39.5001;6.44E-10;36.217201;0.999999;-3.81E-12;36.217201;;;0
40;6.29E-10;36.393469;0.999999;-2.90E-12;36.393469;;;0
40.4999;6.32E-10;36.56984;1;-5.28E-12;36.56984;;;0
40.9999;6.36E-10;36.746437;1;-4.65E-12;36.746437;;;0
41.5;6.59E-10;36.922798;1;-4.43E-12;36.922798;;;0
42;6.81E-10;37.106666;0.999999;-7.00E-12;37.106666;;;0
42.5;6.89E-10;37.283261;1;-5.31E-12;37.283261;;;0
43;6.59E-10;37.488288;1;-5.33E-12;37.488288;;;0
43.4999;6.85E-10;37.664798;0.999999;-5.89E-12;37.664798;;;0
44;7.14E-10;37.841466;0.999999;-7.25E-12;37.841466;;;0
44.4999;7.03E-10;38.023002;0.999999;-7.21E-12;38.023002;;;0
44.9999;7.21E-10;38.199507;1;-6.69E-12;38.199507;;;0
45.5;7.12E-10;38.376053;1;-7.62E-12;38.376053;;;0
45.9999;6.89E-10;38.554359;0.999999;-5.70E-12;38.554359;;;0
46.5;7.08E-10;38.730964;1;-5.17E-12;38.730964;;;0
47;7.35E-10;38.907469;0.999999;-5.86E-12;38.907469;;;0
47.4999;7.14E-10;39.08611;1;-7.10E-12;39.08611;;;0
48;7.10E-10;39.262648;0.999999;-6.40E-12;39.262648;;;0
48.5;7.54E-10;39.457439;0.999999;-7.56E-12;39.457439;;;0
49;7.68E-10;39.63395;1;-9.70E-12;39.63395;;;0
49.5;7.47E-10;39.810499;0.999999;-1.01E-11;39.810499;;;0
49.9999;7.33E-10;40.020607;1;-7.73E-12;40.020607;;;0
50.5;7.69E-10;40.197198;0.999999;-9.51E-12;40.197198;;;0
50.9999;7.92E-10;40.373754;1;-9.55E-12;40.373754;;;0
51.4999;7.97E-10;40.550215;0.999999;-9.06E-12;40.550215;;;0
51.9999;7.80E-10;40.726922;1;-9.15E-12;40.726922;;;0
52.4999;7.68E-10;40.903382;0.999999;-8.83E-12;40.903382;;;0
52.9999;8.02E-10;41.080836;0.999999;-8.72E-12;41.080836;;;0
53.4999;8.17E-10;41.257321;1;-9.37E-12;41.257321;;;0
53.9999;8.31E-10;41.433812;1;-9.57E-12;41.433812;;;0
54.4999;7.96E-10;41.619691;0.999999;-8.82E-12;41.619691;;;0
54.9999;8.21E-10;41.796494;1;-1.13E-11;41.796494;;;0
55.5;8.23E-10;42.001517;1;-1.01E-11;42.001517;;;0
55.9999;8.21E-10;42.178059;1;-1.13E-11;42.178059;;;0
56.5;8.27E-10;42.354798;1;-8.73E-12;42.354798;;;0
57;8.74E-10;42.53137;0.999999;-1.38E-11;42.53137;;;0
57.4999;8.70E-10;42.708078;1;-1.05E-11;42.708078;;;0
57.9999;8.71E-10;42.884677;1;-1.18E-11;42.884677;;;0
58.5;8.47E-10;43.06123;1;-1.10E-11;43.06123;;;0
58.9999;8.45E-10;43.237878;0.999999;-7.95E-12;43.237878;;;0
59.5;8.89E-10;43.414493;1;-1.07E-11;43.414493;;;0
60;8.87E-10;43.593557;1;-1.18E-11;43.593557;;;0
60;9.01E-10;43.714812;1;-1.28E-11;43.714812;;;0
59.5;8.35E-10;43.891465;0.999999;-1.03E-11;43.891465;;;0
58.9999;8.05E-10;44.068082;0.999999;-1.12E-11;44.068082;;;0
58.4999;7.52E-10;44.244681;0.999999;-1.01E-11;44.244681;;;0
58;7.36E-10;44.421205;1;-9.35E-12;44.421205;;;0
57.5;7.44E-10;44.600038;0.999999;-8.78E-12;44.600038;;;0
56.9999;7.02E-10;44.776676;1;-8.34E-12;44.776676;;;0
56.4999;7.06E-10;44.973136;0.999999;-1.01E-11;44.973136;;;0
56;7.03E-10;45.149727;1;-1.07E-11;45.149727;;;0
55.4999;6.67E-10;45.326187;1;-1.01E-11;45.326187;;;0
54.9999;6.15E-10;45.536451;0.999999;-6.76E-12;45.536451;;;0
54.5;6.30E-10;45.713093;0.999999;-9.28E-12;45.713093;;;0
53.9999;6.22E-10;45.889664;1.000001;-8.25E-12;45.889664;;;0
53.5;6.13E-10;46.066286;0.999999;-6.88E-12;46.066286;;;0
