#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 11:48:43;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain| (A);|IGate| (A)
0.49999;2.42E-09;20.025112;-0.499994;-2.64E-08;20.025112;;;0.49999;2.63872E-08;2.41912E-09
0.59999;2.19E-09;20.147459;-0.500007;-2.18E-08;20.147459;;;0.59999;2.17937E-08;2.19279E-09
0.7;2.02E-09;20.269828;-0.500007;-1.47E-08;20.269828;;;0.7;1.46673E-08;2.01867E-09
0.79999;1.67E-09;20.403775;-0.500004;-9.67E-09;20.403775;;;0.79999;9.6669E-09;1.67408E-09
0.89999;1.22E-09;20.541083;-0.5;-6.77E-09;20.541083;;;0.89999;6.76919E-09;1.21548E-09
0.99999;1.16E-09;20.662272;-0.499999;-5.50E-09;20.662272;;;0.99999;5.49731E-09;1.15648E-09
1.09999;1.04E-09;20.783438;-0.5;-4.54E-09;20.783438;;;1.09999;4.54446E-09;1.03594E-09
1.19999;9.62E-10;20.904629;-0.499999;-3.96E-09;20.904629;;;1.19999;3.95742E-09;9.6224E-10
1.29999;8.89E-10;21.025908;-0.499998;-3.29E-09;21.025908;;;1.29999;3.29303E-09;8.8892E-10
1.39999;9.04E-10;21.147091;-0.5;-2.98E-09;21.147091;;;1.39999;2.97624E-09;9.0389E-10
1.49999;8.75E-10;21.268288;-0.500001;-2.67E-09;21.268288;;;1.49999;2.67178E-09;8.7524E-10
1.59999;8.30E-10;21.391176;-0.5;-2.25E-09;21.391176;;;1.59999;2.2547E-09;8.2979E-10
1.69999;8.59E-10;21.512443;-0.5;-2.06E-09;21.512443;;;1.69999;2.05758E-09;8.5924E-10
1.79999;9.07E-10;21.633685;-0.5;-1.85E-09;21.633685;;;1.79999;1.85335E-09;9.0722E-10
1.89999;8.15E-10;21.754857;-0.499999;-1.58E-09;21.754857;;;1.89999;1.57796E-09;8.1512E-10
1.99999;7.66E-10;21.894174;-0.499999;-1.30E-09;21.894174;;;1.99999;1.29788E-09;7.6582E-10
2.09999;8.15E-10;22.015444;-0.5;-1.11E-09;22.015444;;;2.09999;1.11339E-09;8.1507E-10
2.19999;8.23E-10;22.136633;-0.499999;-9.42E-10;22.136633;;;2.19999;9.4241E-10;8.2268E-10
2.29999;8.01E-10;22.257846;-0.5;-7.96E-10;22.257846;;;2.29999;7.9643E-10;8.0141E-10
2.39999;7.34E-10;22.394156;-0.5;-6.29E-10;22.394156;;;2.39999;6.2934E-10;7.341E-10
2.49999;7.89E-10;22.515429;-0.5;-5.86E-10;22.515429;;;2.49999;5.8602E-10;7.8916E-10
2.59999;7.84E-10;22.636628;-0.5;-4.87E-10;22.636628;;;2.59999;4.8653E-10;7.8406E-10
2.69999;7.86E-10;22.757822;-0.5;-4.14E-10;22.757822;;;2.69999;4.1398E-10;7.856E-10
2.79999;7.30E-10;22.894149;-0.5;-3.28E-10;22.894149;;;2.79999;3.2791E-10;7.3037E-10
2.89999;7.64E-10;23.015418;-0.5;-3.08E-10;23.015418;;;2.89999;3.0816E-10;7.6397E-10
2.99999;7.66E-10;23.136611;-0.5;-2.97E-10;23.136611;;;2.99999;2.969E-10;7.6647E-10
3.09999;7.58E-10;23.257821;-0.5;-2.79E-10;23.257821;;;3.09999;2.792E-10;7.584E-10
3.19999;6.98E-10;23.396121;-0.5;-2.50E-10;23.396121;;;3.19999;2.5041E-10;6.9784E-10
3.29999;7.48E-10;23.517391;-0.5;-2.84E-10;23.517391;;;3.29999;2.8433E-10;7.4753E-10
3.39999;7.51E-10;23.638633;-0.5;-2.81E-10;23.638633;;;3.39999;2.8111E-10;7.5139E-10
3.49999;7.37E-10;23.759818;-0.5;-2.63E-10;23.759818;;;3.49999;2.6262E-10;7.3668E-10
3.59999;6.85E-10;23.897112;-0.5;-2.41E-10;23.897112;;;3.59999;2.4134E-10;6.8509E-10
3.69999;7.39E-10;24.01838;-0.5;-2.71E-10;24.01838;;;3.69999;2.706E-10;7.3877E-10
3.79999;7.30E-10;24.139587;-0.5;-2.59E-10;24.139587;;;3.79999;2.5898E-10;7.2967E-10
3.89999;7.23E-10;24.260798;-0.5;-2.59E-10;24.260798;;;3.89999;2.5912E-10;7.2276E-10
3.99999;6.62E-10;24.398112;-0.5;-2.28E-10;24.398112;;;3.99999;2.2848E-10;6.6171E-10
4.09999;7.26E-10;24.519384;-0.5;-2.66E-10;24.519384;;;4.09999;2.6588E-10;7.2593E-10
4.19999;7.56E-10;24.640592;-0.5;-3.05E-10;24.640592;;;4.19999;3.049E-10;7.5642E-10
4.29999;7.65E-10;24.761799;-0.5;-3.03E-10;24.761799;;;4.29999;3.034E-10;7.6529E-10
4.39999;7.10E-10;24.890929;-0.5;-2.55E-10;24.890929;;;4.39999;2.5487E-10;7.103E-10
4.49999;7.48E-10;25.013356;-0.5;-2.96E-10;25.013356;;;4.49999;2.9625E-10;7.4772E-10
4.59999;7.36E-10;25.134563;-0.5;-2.83E-10;25.134563;;;4.59999;2.8252E-10;7.3585E-10
4.69999;7.46E-10;25.255747;-0.5;-2.86E-10;25.255747;;;4.69999;2.8568E-10;7.455E-10
4.79999;6.74E-10;25.400193;-0.5;-2.40E-10;25.400193;;;4.79999;2.3986E-10;6.7421E-10
4.89999;7.20E-10;25.52145;-0.5;-2.75E-10;25.52145;;;4.89999;2.7463E-10;7.202E-10
4.99999;7.40E-10;25.642657;-0.5;-2.93E-10;25.642657;;;4.99999;2.9326E-10;7.401E-10
