File Name: 03_Sample12_device4_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;10:49:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;Time (s);Idrain(A);;;Time_100uA (s);IDrain_dark (A);;;Time_100uA (s);IDrain_raw (A);Fit (A);dI_100uA (A);;;Time_200uA_dark (s);IDrain_dark(A);;Time_200_raw(s);IDrain_raw(A);;;;Time_400uA_raw (s);IDrain_raw(A);Fit (A);dI (A);;Time_400uA_dark (s);;;;Time_500uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_500uA_dark (s);;;;Time_300uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_300uA_dark (s);
1.80E+04;1.00E+00;2.18E-06;5.00E+01;8.25E-11;;;18.00;2.18E-06;;;317.5;6.93E-07;;;317.50;6.93E-07;6.95E-07;-1.75E-09;;;;;;617.50;3.13E-07;;;;1017.50;2.51E-07;3.01E-07;-5.04E-08;;;;;;1218.00;2.93E-07;2.88E-07;5.66E-09;;;;;;817.50;1.78E-07;3.38E-07;-1.61E-07;;;
1.85E+04;1.00E+00;2.17E-06;5.00E+01;8.34E-11;;;18.50;2.17E-06;;;318;6.95E-07;;;318.00;6.95E-07;6.94E-07;8.57E-10;;;;;;618.00;3.09E-07;;;;1018.00;2.79E-07;3.02E-07;-2.28E-08;;;;;;1218.50;2.95E-07;2.88E-07;6.88E-09;;;;;;818.00;1.83E-07;3.39E-07;-1.55E-07;;;
1.90E+04;1.00E+00;2.15E-06;5.00E+01;9.39E-11;;;19.00;2.15E-06;;;318.5;6.94E-07;;;318.50;6.94E-07;6.94E-07;-2.79E-10;;;;;;618.50;3.09E-07;;;;1018.50;2.95E-07;3.02E-07;-6.83E-09;;;;;;1219.00;2.96E-07;2.89E-07;7.25E-09;;;;;;818.50;2.64E-07;3.39E-07;-7.46E-08;;;
1.95E+04;1.00E+00;2.14E-06;5.00E+01;9.33E-11;;;19.50;2.14E-06;;;319;6.96E-07;;;319.00;6.96E-07;6.93E-07;2.61E-09;;;;;;619.00;3.19E-07;;;;1019.00;3.03E-07;3.02E-07;5.87E-10;;;;;;1219.50;2.94E-07;2.89E-07;4.84E-09;;;;;;819.00;3.03E-07;3.39E-07;-3.63E-08;;;
2.00E+04;1.00E+00;2.13E-06;5.00E+01;8.92E-11;;;20.00;2.13E-06;;;319.5;6.89E-07;;;319.50;6.89E-07;6.93E-07;-3.75E-09;;;;;;619.50;3.89E-07;;;;1019.50;3.06E-07;3.03E-07;3.18E-09;;;;;;1220.00;2.94E-07;2.90E-07;4.13E-09;;;;;;819.50;3.27E-07;3.39E-07;-1.26E-08;;;
2.05E+04;1.00E+00;2.12E-06;5.00E+01;1.33E-10;;;20.50;2.12E-06;;;320;6.86E-07;;;320.00;6.86E-07;6.92E-07;-6.35E-09;;;;;;620.00;4.14E-07;;;;1020.00;3.06E-07;3.03E-07;3.19E-09;;;;;;1220.50;2.89E-07;2.90E-07;-9.19E-10;;;;;;820.00;3.41E-07;3.39E-07;1.28E-09;;;
2.10E+04;1.00E+00;2.11E-06;5.00E+01;1.21E-10;;;21.00;2.11E-06;;;320.5;6.86E-07;;;320.50;6.86E-07;6.92E-07;-5.73E-09;;;;;;620.50;4.29E-07;;;;1020.50;3.10E-07;3.04E-07;6.10E-09;;;;;;1221.00;2.91E-07;2.91E-07;3.49E-10;;;;;;820.50;3.41E-07;3.39E-07;1.42E-09;;;
2.15E+04;1.00E+00;2.10E-06;5.00E+01;1.13E-10;;;21.50;2.10E-06;;;321;6.85E-07;;;321.00;6.85E-07;6.92E-07;-6.79E-09;;;;;;621.00;4.42E-07;;;;1021.00;3.09E-07;3.04E-07;4.92E-09;;;;;;1221.50;2.91E-07;2.91E-07;-4.30E-11;;;;;;821.00;3.41E-07;3.40E-07;1.72E-09;;;
2.20E+04;1.00E+00;2.09E-06;5.00E+01;7.95E-11;;;22.00;2.09E-06;;;321.5;6.86E-07;;;321.50;6.86E-07;6.91E-07;-4.99E-09;;;;;;621.50;4.39E-07;;;;1021.50;3.07E-07;3.04E-07;2.70E-09;;;;;;1222.00;2.91E-07;2.92E-07;-1.85E-10;;;;;;821.50;3.50E-07;3.40E-07;1.05E-08;;;
2.25E+04;1.00E+00;2.07E-06;5.00E+01;8.44E-11;;;22.50;2.07E-06;;;322;6.85E-07;;;322.00;6.85E-07;6.91E-07;-5.82E-09;;;;;;622.00;4.45E-07;;;;1022.00;3.06E-07;3.05E-07;7.93E-10;;;;;;1222.50;2.91E-07;2.92E-07;-1.37E-09;;;;;;822.00;3.48E-07;3.40E-07;8.22E-09;;;
