File Name: 07_Sample14_device4_trfsat_dark_final.dat;;;;;;;;;
File Data: 15/11/2023;13:00:03;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 20;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
5.00E+04;1.00E+00;1.08E-05;-5.00E-01;2.88E-10;;;;0.000010755;2.8758E-10
5.05E+04;1.00E+00;1.10E-05;0.00E+00;2.88E-10;;;;0.000011046;2.8835E-10
5.10E+04;1.00E+00;1.13E-05;5.00E-01;2.90E-10;;;;0.000011313;2.9032E-10
5.15E+04;1.00E+00;1.16E-05;1.00E+00;2.90E-10;;;;0.0000116;2.9015E-10
5.20E+04;1.00E+00;1.19E-05;1.50E+00;2.90E-10;;;;0.000011911;2.902E-10
5.25E+04;1.00E+00;1.22E-05;2.00E+00;2.91E-10;;;;0.000012192;2.9087E-10
5.30E+04;1.00E+00;1.25E-05;2.50E+00;2.92E-10;;;;0.000012506;2.9186E-10
5.35E+04;1.00E+00;1.28E-05;3.00E+00;2.91E-10;;;;0.000012784;2.9094E-10
5.40E+04;1.00E+00;1.31E-05;3.50E+00;2.91E-10;;;;0.000013088;2.9144E-10
5.45E+04;1.00E+00;1.34E-05;4.00E+00;2.97E-10;;;;0.000013373;2.9656E-10
5.50E+04;1.00E+00;1.37E-05;4.50E+00;2.93E-10;;;;0.000013675;2.9328E-10
5.55E+04;1.00E+00;1.40E-05;5.00E+00;2.90E-10;;;;0.000013982;2.9022E-10
5.60E+04;1.00E+00;1.43E-05;5.50E+00;2.95E-10;;;;0.000014252;2.9496E-10
5.65E+04;1.00E+00;1.46E-05;6.00E+00;2.96E-10;;;;0.000014563;2.9581E-10
5.70E+04;1.00E+00;1.49E-05;6.50E+00;2.92E-10;;;;0.00001486;2.9151E-10
5.75E+04;1.00E+00;1.52E-05;7.00E+00;2.94E-10;;;;0.000015167;2.9396E-10
5.80E+04;1.00E+00;1.55E-05;7.50E+00;2.91E-10;;;;0.000015476;2.9143E-10
5.85E+04;1.00E+00;1.58E-05;8.00E+00;2.88E-10;;;;0.000015783;2.8843E-10
