File Name: 10_Sample4_device1_trfSat_dark_hor.dat;;;;;;;
File Data: 17/11/2023;9:56:54;;;;;;
Start V: 0;;;;;;;
Step V: 0;;;;;;;
Stop V: 0;;;;;;;
Range V: 200;;;;;;;
Delay(ms): 0;;;;;;;
Auorange: yes;;;;;;;
Sweep type: log;;;;;;;
Instrument Meter: SM2614;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;|IDrain|, |IGate| (A);|IGate| (A)
8.20E+04;1.00E+00;-3.02E-11;3.15E+01;7.79E-11;;3.0206E-11;7.7871E-11
8.25E+04;1.00E+00;-3.01E-11;3.20E+01;7.80E-11;;3.0121E-11;7.8002E-11
8.30E+04;1.00E+00;-3.03E-11;3.25E+01;7.85E-11;;3.0321E-11;7.851E-11
8.35E+04;1.00E+00;-3.01E-11;3.30E+01;7.82E-11;;3.013E-11;7.8163E-11
8.40E+04;1.00E+00;-3.02E-11;3.35E+01;7.81E-11;;3.0184E-11;7.8087E-11
8.45E+04;1.00E+00;-3.02E-11;3.40E+01;7.81E-11;;3.0201E-11;7.8126E-11
8.50E+04;1.00E+00;-3.01E-11;3.45E+01;7.79E-11;;3.0135E-11;7.7936E-11
8.55E+04;1.00E+00;-3.03E-11;3.50E+01;7.84E-11;;3.0267E-11;7.8406E-11
8.60E+04;1.00E+00;-3.02E-11;3.55E+01;7.85E-11;;3.0216E-11;7.8542E-11
8.65E+04;1.00E+00;-3.04E-11;3.60E+01;7.86E-11;;3.0443E-11;7.8646E-11
8.70E+04;1.00E+00;-3.03E-11;3.65E+01;7.85E-11;;3.0323E-11;7.8479E-11
8.75E+04;1.00E+00;-3.04E-11;3.70E+01;7.83E-11;;3.0413E-11;7.8288E-11
8.80E+04;1.00E+00;-3.04E-11;3.75E+01;7.91E-11;;3.0431E-11;7.9085E-11
8.85E+04;1.00E+00;-3.05E-11;3.80E+01;7.80E-11;;3.0494E-11;7.7952E-11
8.90E+04;1.00E+00;-3.06E-11;3.85E+01;7.84E-11;;3.0558E-11;7.8435E-11
8.95E+04;1.00E+00;-3.05E-11;3.90E+01;7.82E-11;;3.0509E-11;7.8185E-11
9.00E+04;1.00E+00;-3.08E-11;3.95E+01;7.92E-11;;3.0798E-11;7.9179E-11
9.05E+04;1.00E+00;-3.07E-11;4.00E+01;7.92E-11;;3.0744E-11;7.9246E-11
9.10E+04;1.00E+00;-2.02E-11;4.05E+01;6.67E-11;;2.0204E-11;6.6671E-11
9.15E+04;1.00E+00;-4.89E-11;4.10E+01;2.53E-10;;4.8903E-11;2.5251E-10
9.20E+04;1.00E+00;-3.10E-11;4.15E+01;7.78E-11;;3.0977E-11;7.7845E-11
9.25E+04;1.00E+00;-3.10E-11;4.20E+01;7.88E-11;;3.1004E-11;7.8757E-11
9.30E+04;1.00E+00;-3.09E-11;4.25E+01;8.11E-11;;3.0913E-11;8.1149E-11
9.35E+04;1.00E+00;-3.10E-11;4.30E+01;7.96E-11;;3.1044E-11;7.9567E-11
9.40E+04;1.00E+00;-3.11E-11;4.35E+01;8.05E-11;;3.1133E-11;8.0473E-11
9.45E+04;1.00E+00;-3.13E-11;4.40E+01;8.18E-11;;3.1337E-11;8.1823E-11
9.50E+04;1.00E+00;-3.13E-11;4.45E+01;8.13E-11;;3.1338E-11;8.1348E-11
9.55E+04;1.00E+00;-3.21E-11;4.50E+01;8.04E-11;;3.2108E-11;8.0358E-11
9.60E+04;1.00E+00;-3.21E-11;4.55E+01;8.34E-11;;3.2077E-11;8.3396E-11
9.65E+04;1.00E+00;-3.21E-11;4.60E+01;7.97E-11;;3.2057E-11;7.9656E-11
9.70E+04;1.00E+00;-3.18E-11;4.65E+01;8.09E-11;;3.1775E-11;8.089E-11
9.75E+04;1.00E+00;-3.19E-11;4.70E+01;8.30E-11;;3.1855E-11;8.3019E-11
9.80E+04;1.00E+00;-3.20E-11;4.75E+01;8.27E-11;;3.1967E-11;8.2673E-11
9.85E+04;1.00E+00;-3.21E-11;4.80E+01;8.11E-11;;3.2102E-11;8.1124E-11
9.90E+04;1.00E+00;-3.22E-11;4.85E+01;8.28E-11;;3.2241E-11;8.2777E-11
9.95E+04;1.00E+00;-3.23E-11;4.90E+01;8.19E-11;;3.2275E-11;8.1929E-11
1.00E+05;1.00E+00;-3.24E-11;4.95E+01;8.22E-11;;3.2352E-11;8.2221E-11
1.01E+05;1.00E+00;-3.26E-11;5.00E+01;8.13E-11;;3.2625E-11;8.1306E-11
1.01E+05;1.00E+00;-3.29E-11;5.05E+01;8.21E-11;;3.2944E-11;8.2051E-11
1.02E+05;1.00E+00;1.25E-11;5.00E+01;-9.47E-11;;1.2509E-11;9.4655E-11
1.02E+05;1.00E+00;1.24E-11;4.95E+01;-9.58E-11;;1.2381E-11;9.5801E-11
1.03E+05;1.00E+00;1.23E-11;4.90E+01;-9.63E-11;;1.2305E-11;9.6278E-11
1.03E+05;1.00E+00;1.28E-11;4.85E+01;-9.51E-11;;1.278E-11;9.5061E-11
1.04E+05;1.00E+00;1.33E-11;4.80E+01;-9.77E-11;;1.3294E-11;9.7696E-11
1.04E+05;1.00E+00;1.39E-11;4.75E+01;-9.65E-11;;1.3856E-11;9.6508E-11
1.05E+05;1.00E+00;1.37E-11;4.70E+01;-9.75E-11;;1.3727E-11;9.7528E-11
1.05E+05;1.00E+00;1.40E-11;4.65E+01;-9.87E-11;;1.4043E-11;9.8747E-11
1.06E+05;1.00E+00;1.37E-11;4.60E+01;-9.91E-11;;1.3701E-11;9.9055E-11
1.06E+05;1.00E+00;9.29E-12;4.55E+01;-9.15E-11;;9.2864E-12;9.1518E-11
1.07E+05;1.00E+00;2.49E-11;4.50E+01;-2.85E-10;;2.4898E-11;2.854E-10
1.07E+05;1.00E+00;1.43E-11;4.45E+01;-1.01E-10;;1.4337E-11;1.0146E-10
1.08E+05;1.00E+00;1.48E-11;4.40E+01;-9.98E-11;;1.4768E-11;9.9826E-11
1.08E+05;1.00E+00;1.50E-11;4.35E+01;-1.01E-10;;1.4956E-11;1.0139E-10
1.09E+05;1.00E+00;1.52E-11;4.30E+01;-1.01E-10;;1.5231E-11;1.0148E-10
1.09E+05;1.00E+00;1.51E-11;4.25E+01;-9.86E-11;;1.5098E-11;9.8627E-11
1.10E+05;1.00E+00;1.56E-11;4.20E+01;-1.00E-10;;1.5597E-11;1.0006E-10
1.10E+05;1.00E+00;1.53E-11;4.15E+01;-1.03E-10;;1.5274E-11;1.0266E-10
1.11E+05;1.00E+00;1.53E-11;4.10E+01;-1.04E-10;;1.5255E-11;1.0403E-10
