#scan;iMeasureCycle=1;iMux=0;time=0.133;N=492;LocalTime=21/12/2023 11:56:21;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
4.99999;8.88E-10;25.138052;-7.5;-3.73E-07;25.138052;;;-7.5;3.72738E-07
4.99999;8.66E-10;25.288008;-7;-3.66E-07;25.288008;;;-7;3.66458E-07
5;8.62E-10;25.447757;-6.5;-3.59E-07;25.447757;;;-6.5;3.59145E-07
4.99999;8.32E-10;25.597633;-6;-3.51E-07;25.597633;;;-6;3.50618E-07
4.99999;8.08E-10;25.747421;-5.5;-3.41E-07;25.747421;;;-5.5;3.41005E-07
5;7.89E-10;25.922835;-5;-3.30E-07;25.922835;;;-5;3.29626E-07
4.99999;7.05E-10;26.072697;-4.5;-3.17E-07;26.072697;;;-4.5;3.16791E-07
5;6.11E-10;26.222563;-4;-3.01E-07;26.222563;;;-4;3.01178E-07
5;4.56E-10;26.372405;-3.5;-2.82E-07;26.372405;;;-3.5;2.82413E-07
5;2.73E-10;26.543214;-3;-2.60E-07;26.543214;;;-3;2.59904E-07
5;5.36E-11;26.693018;-2.5;-2.33E-07;26.693018;;;-2.5;2.32633E-07
4.99999;-6.97E-11;26.842888;-2;-2.00E-07;26.842888;;;-2;1.99899E-07
4.99999;-6.65E-11;26.992772;-1.5;-1.61E-07;26.992772;;;-1.5;1.60515E-07
4.99999;1.82E-11;27.143368;-1;-1.14E-07;27.143368;;;-1;1.13952E-07
4.99999;3.04E-10;27.310568;-0.5;-6.01E-08;27.310568;;;-0.5;6.01126E-08
4.99999;3.90E-10;27.475306;-1.00E-05;-4.47E-10;27.475306;;;-1.00E-05;4.4737E-10
-1.20E-06;-1.29E-09;27.65151;-1.00E-05;8.84E-10;27.65151;;;-1.00E-05;8.8436E-10
6.00E-07;-1.86E-10;27.804612;-0.5;-2.23E-06;27.804612;;;-0.5;2.23326E-06
2.00E-07;2.37E-10;27.960723;-1;-4.28E-06;27.960723;;;-1;4.28451E-06
-1.00E-07;5.08E-10;28.11054;-1.5;-5.97E-06;28.11054;;;-1.5;5.96522E-06
3.00E-07;6.96E-10;28.260319;-2;-7.27E-06;28.260319;;;-2;7.26741E-06
-3.00E-07;7.89E-10;28.443758;-2.5;-8.28E-06;28.443758;;;-2.5;8.27701E-06
3.00E-07;9.23E-10;28.593683;-3;-9.08E-06;28.593683;;;-3;9.08381E-06
1.00E-06;1.02E-09;28.746863;-3.5;-9.74E-06;28.746863;;;-3.5;9.7378E-06
5.00E-07;1.02E-09;28.933962;-4;-1.03E-05;28.933962;;;-4;1.02698E-05
2.00E-07;1.17E-09;29.0838;-4.5;-1.07E-05;29.0838;;;-4.5;1.07166E-05
3.00E-07;1.27E-09;29.233646;-5;-1.11E-05;29.233646;;;-5;1.10966E-05
0;1.35E-09;29.383439;-5.5;-1.14E-05;29.383439;;;-5.5;1.14223E-05
4.00E-07;1.40E-09;29.550513;-6;-1.17E-05;29.550513;;;-6;1.17034E-05
7.00E-07;1.47E-09;29.700258;-6.5;-1.19E-05;29.700258;;;-6.5;1.19474E-05
5.00E-07;1.51E-09;29.850113;-7;-1.22E-05;29.850113;;;-7;1.21599E-05
3.00E-07;1.52E-09;29.999951;-7.5;-1.23E-05;29.999951;;;-7.5;1.23458E-05
3.00E-07;1.49E-09;30.150301;-8;-1.25E-05;30.150301;;;-8;1.25095E-05
4.00E-07;1.44E-09;30.300237;-8.5;-1.27E-05;30.300237;;;-8.5;1.26591E-05
5.00E-07;1.34E-09;30.465224;-9;-1.28E-05;30.465224;;;-9;0.00001279
3.00E-07;1.30E-09;30.615219;-9.5;-1.29E-05;30.615219;;;-9.5;1.29061E-05
4.00E-07;1.24E-09;30.764948;-10;-1.30E-05;30.764948;;;-10;1.30131E-05
4.00E-07;1.17E-09;30.936496;-10.5;-1.31E-05;30.936496;;;-10.5;1.31098E-05
-3.00E-07;1.14E-09;31.086409;-11;-1.32E-05;31.086409;;;-11;0.000013195
0;1.11E-09;31.236176;-11.5;-1.33E-05;31.236176;;;-11.5;1.32726E-05
-1.00E-07;1.08E-09;31.38593;-12;-1.34E-05;31.38593;;;-12;1.33519E-05
-2.00E-07;1.06E-09;31.555696;-12.5;-1.34E-05;31.555696;;;-12.5;1.34223E-05
-1.00E-07;1.04E-09;31.705456;-13;-1.35E-05;31.705456;;;-13;1.34894E-05
1.00E-07;1.03E-09;31.855272;-13.5;-1.36E-05;31.855272;;;-13.5;1.35538E-05
2.00E-07;1.01E-09;32.005105;-14;-1.36E-05;32.005105;;;-14;1.36156E-05
0;1.00E-09;32.156533;-14.5;-1.37E-05;32.156533;;;-14.5;1.36738E-05
0;9.91E-10;32.306452;-15;-1.37E-05;32.306452;;;-15;0.000013729
3.00E-07;9.96E-10;32.470719;-15.5;-1.38E-05;32.470719;;;-15.5;1.37808E-05
2.00E-07;9.80E-10;32.620832;-16;-1.38E-05;32.620832;;;-16;1.38314E-05
1.00E-07;9.77E-10;32.770644;-16.5;-1.39E-05;32.770644;;;-16.5;1.38778E-05
-3.00E-07;9.71E-10;32.945856;-17;-1.39E-05;32.945856;;;-17;1.39243E-05
1.00E-07;9.63E-10;33.095826;-17.5;-1.40E-05;33.095826;;;-17.5;1.39639E-05
0;9.68E-10;33.245616;-18;-1.40E-05;33.245616;;;-18;1.40085E-05
2.00E-07;9.57E-10;33.395351;-18.5;-1.40E-05;33.395351;;;-18.5;1.40493E-05
1.00E-07;9.49E-10;33.560915;-19;-1.41E-05;33.560915;;;-19;1.40907E-05
0;9.50E-10;33.71068;-19.5;-1.41E-05;33.71068;;;-19.5;1.41279E-05
-2.00E-07;9.51E-10;33.860528;-20;-1.42E-05;33.860528;;;-20;1.41673E-05
3.00E-07;9.51E-10;33.982943;-20;-1.42E-05;33.982943;;;-20;1.41693E-05
0;9.36E-10;34.132768;-19.5;-1.41E-05;34.132768;;;-19.5;0.000014131
0;9.40E-10;34.282599;-19;-1.41E-05;34.282599;;;-19;1.40937E-05
0;9.36E-10;34.466166;-18.5;-1.41E-05;34.466166;;;-18.5;1.40516E-05
-3.00E-07;9.27E-10;34.616161;-18;-1.40E-05;34.616161;;;-18;0.000014007
7.00E-07;9.27E-10;34.766018;-17.5;-1.40E-05;34.766018;;;-17.5;1.39646E-05
-1.00E-07;9.26E-10;34.94959;-17;-1.39E-05;34.94959;;;-17;1.39159E-05
1.00E-07;9.27E-10;35.099456;-16.5;-1.39E-05;35.099456;;;-16.5;1.38675E-05
-1.00E-07;9.24E-10;35.249327;-16;-1.38E-05;35.249327;;;-16;1.38162E-05
-1.00E-07;9.25E-10;35.399134;-15.5;-1.38E-05;35.399134;;;-15.5;1.37621E-05
1.00E-07;9.14E-10;35.566099;-15;-1.37E-05;35.566099;;;-15;1.37054E-05
1.00E-07;9.22E-10;35.7159;-14.5;-1.36E-05;35.7159;;;-14.5;1.36458E-05
-2.00E-07;9.09E-10;35.865669;-14;-1.36E-05;35.865669;;;-14;1.35834E-05
1.00E-07;9.12E-10;36.0155;-13.5;-1.35E-05;36.0155;;;-13.5;1.35186E-05
-1.00E-07;9.04E-10;36.166923;-13;-1.35E-05;36.166923;;;-13;1.34504E-05
