#scan;iMeasureCycle=1;iMux=0;time=0.135;N=142;LocalTime=21/12/2023 11:59:53;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
3.99999;1.55E-09;17.728326;-10;-6.82E-07;17.728326;;;3.99999;6.82E-07;1.55E-09;0.000826077;;;
4.5;1.65E-09;17.900072;-10;-4.16E-07;17.900072;;;4.5;4.16E-07;1.65E-09;0.000645163;;;
4.99999;2.14E-09;18.050006;-10;-2.42E-07;18.050006;;;4.99999;2.42E-07;2.14E-09;0.000492293;;;
5.49999;2.46E-09;18.19991;-10;-1.34E-07;18.19991;;;5.49999;1.34E-07;2.46E-09;0.00036637;;;
5.99999;2.28E-09;18.390812;-9.99999;-7.05E-08;18.390812;;;5.99999;7.05E-08;2.28E-09;0.000265474;;;
6.5;2.49E-09;18.560851;-10;-3.49E-08;18.560851;;;6.5;3.49E-08;2.49E-09;0.000186842;;;
6.99999;2.50E-09;18.730928;-10;-1.65E-08;18.730928;;;6.99999;1.65E-08;2.50E-09;0.000128641;;;
7.5;2.28E-09;18.932261;-10.00001;-7.62E-09;18.932261;;;7.5;7.62E-09;2.28E-09;8.73E-05;;;
8;2.22E-09;19.108261;-10.00001;-3.46E-09;19.108261;;;8;3.46E-09;2.22E-09;5.89E-05;;;
8.5;2.11E-09;19.284226;-10;-1.87E-09;19.284226;;;8.5;1.87E-09;2.11E-09;4.32E-05;;;
9;2.00E-09;19.460308;-10;-1.40E-09;19.460308;;;9;1.40E-09;2.00E-09;3.75E-05;;;
9.5;1.89E-09;19.636544;-10;-1.28E-09;19.636544;;;9.5;1.28E-09;1.89E-09;3.58E-05;;;
10;1.79E-09;19.812618;-10.00001;-1.23E-09;19.812618;;;10;1.23E-09;1.79E-09;3.51E-05;;;
10.5;1.71E-09;19.988684;-10.00001;-1.20E-09;19.988684;;;10.5;1.20E-09;1.71E-09;3.47E-05;;;
11;1.62E-09;20.164831;-10.00001;-1.18E-09;20.164831;;;11;1.18E-09;1.62E-09;3.43E-05;;;
11.5;1.56E-09;20.34091;-10.00001;-1.16E-09;20.34091;;;11.5;1.16E-09;1.56E-09;3.40E-05;;;
12;1.50E-09;20.519609;-10;-1.14E-09;20.519609;;;12;1.14E-09;1.50E-09;3.38E-05;;;
12.49999;1.45E-09;20.695563;-10.00001;-1.12E-09;20.695563;;;12.49999;1.12E-09;1.45E-09;3.35E-05;;;
13;1.41E-09;20.871646;-10;-1.11E-09;20.871646;;;13;1.11E-09;1.41E-09;3.33E-05;;;
13.49999;1.37E-09;21.053162;-10.00001;-1.10E-09;21.053162;;;13.49999;1.10E-09;1.37E-09;3.32E-05;;;
14;1.34E-09;21.229166;-10;-1.09E-09;21.229166;;;14;1.09E-09;1.34E-09;3.30E-05;;;
14.49999;1.31E-09;21.434975;-10.00001;-1.08E-09;21.434975;;;14.49999;1.08E-09;1.31E-09;3.29E-05;;;
15;1.29E-09;21.61107;-10;-1.08E-09;21.61107;;;15;1.08E-09;1.29E-09;3.28E-05;;;
15.5;1.27E-09;21.787129;-10.00001;-1.07E-09;21.787129;;;15.5;1.07E-09;1.27E-09;3.27E-05;;;
16;1.25E-09;21.96919;-10;-1.06E-09;21.96919;;;16;1.06E-09;1.25E-09;3.26E-05;;;
16.49999;1.23E-09;22.145246;-10.00001;-1.06E-09;22.145246;;;16.49999;1.06E-09;1.23E-09;3.25E-05;;;
16.99999;1.22E-09;22.321242;-10.00001;-1.06E-09;22.321242;;;16.99999;1.06E-09;1.22E-09;3.25E-05;;;
17.49999;1.21E-09;22.497434;-10;-1.05E-09;22.497434;;;17.49999;1.05E-09;1.21E-09;3.24E-05;;;
18;1.20E-09;22.673579;-10;-1.05E-09;22.673579;;;18;1.05E-09;1.20E-09;3.24E-05;;;
18.5;1.19E-09;22.849677;-10;-1.04E-09;22.849677;;;18.5;1.04E-09;1.19E-09;3.23E-05;;;
18.99999;1.18E-09;23.028282;-10.00001;-1.04E-09;23.028282;;;18.99999;1.04E-09;1.18E-09;3.23E-05;;;
19.5;1.17E-09;23.204331;-10;-1.04E-09;23.204331;;;19.5;1.04E-09;1.17E-09;3.23E-05;;;
19.99999;1.16E-09;23.404652;-10.00001;-1.03E-09;23.404652;;;19.99999;1.03E-09;1.16E-09;3.21E-05;;;
