File Name: 27_Sample1_device3_trfSat_dark_final.dat;;;;;;;;;
File Data: 17/11/2023;13:17:35;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
7.35E+04;1.00E+00;2.74E-05;1.95E+01;8.20E-11;;;;0.000027387;8.2001E-11
7.40E+04;1.00E+00;2.81E-05;2.00E+01;8.18E-11;;;;0.000028087;8.1781E-11
7.45E+04;1.00E+00;2.88E-05;2.05E+01;8.35E-11;;;;0.000028764;8.352E-11
7.50E+04;1.00E+00;2.95E-05;2.10E+01;8.16E-11;;;;0.000029487;8.1598E-11
7.55E+04;1.00E+00;3.02E-05;2.15E+01;8.14E-11;;;;0.000030244;8.1433E-11
7.60E+04;1.00E+00;3.09E-05;2.20E+01;7.74E-11;;;;0.000030914;7.7441E-11
7.65E+04;1.00E+00;3.16E-05;2.25E+01;3.19E-10;;;;0.000031637;3.1853E-10
7.70E+04;1.00E+00;3.24E-05;2.30E+01;8.10E-11;;;;0.000032367;8.1025E-11
7.75E+04;1.00E+00;3.31E-05;2.35E+01;8.09E-11;;;;0.000033116;8.0913E-11
7.80E+04;1.00E+00;3.39E-05;2.40E+01;8.09E-11;;;;0.00003386;8.0903E-11
7.85E+04;1.00E+00;3.46E-05;2.45E+01;8.08E-11;;;;0.000034632;8.077E-11
7.90E+04;1.00E+00;3.54E-05;2.50E+01;8.01E-11;;;;0.00003543;8.01E-11
7.95E+04;1.00E+00;3.62E-05;2.55E+01;8.05E-11;;;;0.000036188;8.0515E-11
8.00E+04;1.00E+00;3.69E-05;2.60E+01;8.07E-11;;;;0.000036933;8.0696E-11
8.05E+04;1.00E+00;3.76E-05;2.65E+01;8.02E-11;;;;0.000037648;8.0235E-11
8.10E+04;1.00E+00;3.84E-05;2.70E+01;8.12E-11;;;;0.000038443;8.1178E-11
8.15E+04;1.00E+00;3.93E-05;2.75E+01;8.07E-11;;;;0.000039251;8.0695E-11
8.20E+04;1.00E+00;4.00E-05;2.80E+01;8.14E-11;;;;0.000039963;8.1351E-11
8.25E+04;1.00E+00;4.08E-05;2.85E+01;8.09E-11;;;;0.000040829;8.0943E-11
8.30E+04;1.00E+00;4.16E-05;2.90E+01;8.13E-11;;;;0.000041604;8.1308E-11
8.35E+04;1.00E+00;4.24E-05;2.95E+01;8.12E-11;;;;0.0000424;8.1243E-11
8.40E+04;1.00E+00;4.32E-05;3.00E+01;8.09E-11;;;;0.000043208;8.0851E-11
8.45E+04;1.00E+00;4.40E-05;3.05E+01;8.09E-11;;;;0.000044002;8.0851E-11
8.50E+04;1.00E+00;4.48E-05;3.10E+01;8.16E-11;;;;0.00004484;8.1621E-11
