File Name: 37_Sample12_device3_trfSat_dark.dat;;;;;;;;;
File Data: 15/12/2023;15:40:04;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
4.90E+04;1.00E+00;5.29E-07;4.00E+01;1.79E-10;;;4.00E+01;5.2883E-07;1.7855E-10
4.95E+04;1.00E+00;5.80E-07;4.10E+01;1.79E-10;;;4.10E+01;5.7972E-07;1.7898E-10
5.00E+04;1.00E+00;6.25E-07;4.20E+01;1.79E-10;;;4.20E+01;6.2456E-07;1.7935E-10
5.05E+04;1.00E+00;6.79E-07;4.30E+01;1.80E-10;;;4.30E+01;6.7915E-07;1.8037E-10
5.10E+04;1.00E+00;7.32E-07;4.40E+01;1.78E-10;;;4.40E+01;7.3182E-07;1.778E-10
5.15E+04;1.00E+00;7.94E-07;4.50E+01;1.78E-10;;;4.50E+01;7.9407E-07;1.7804E-10
5.20E+04;1.00E+00;8.56E-07;4.60E+01;1.80E-10;;;4.60E+01;8.5627E-07;1.804E-10
5.25E+04;1.00E+00;9.22E-07;4.70E+01;1.80E-10;;;4.70E+01;9.2155E-07;1.7999E-10
5.30E+04;1.00E+00;9.84E-07;4.80E+01;1.83E-10;;;4.80E+01;9.8402E-07;1.8253E-10
5.35E+04;1.00E+00;1.05E-06;4.90E+01;1.85E-10;;;4.90E+01;1.0532E-06;1.8491E-10
5.40E+04;1.00E+00;1.14E-06;5.00E+01;1.99E-10;;;5.00E+01;0.000001139;1.9899E-10
5.45E+04;1.00E+00;1.21E-06;5.10E+01;1.90E-10;;;5.10E+01;1.2125E-06;1.8974E-10
5.50E+04;1.00E+00;1.11E-06;5.00E+01;-5.42E-11;;;5.00E+01;1.1057E-06;5.422E-11
5.55E+04;1.00E+00;1.01E-06;4.90E+01;-7.84E-11;;;4.90E+01;1.0075E-06;7.8398E-11
5.60E+04;1.00E+00;9.15E-07;4.80E+01;-1.03E-10;;;4.80E+01;9.1537E-07;1.0275E-10
5.65E+04;1.00E+00;8.34E-07;4.70E+01;-1.32E-10;;;4.70E+01;8.3443E-07;1.3203E-10
5.70E+04;1.00E+00;7.56E-07;4.60E+01;-1.19E-10;;;4.60E+01;7.5631E-07;1.1929E-10
5.75E+04;1.00E+00;6.85E-07;4.50E+01;-1.24E-10;;;4.50E+01;6.8451E-07;1.2443E-10
5.80E+04;1.00E+00;6.17E-07;4.40E+01;-1.29E-10;;;4.40E+01;6.1666E-07;1.291E-10
5.85E+04;1.00E+00;5.52E-07;4.30E+01;-1.34E-10;;;4.30E+01;5.5162E-07;1.3439E-10
5.90E+04;1.00E+00;4.94E-07;4.20E+01;-1.42E-10;;;4.20E+01;4.9356E-07;1.4171E-10
5.95E+04;1.00E+00;4.38E-07;4.10E+01;-1.53E-10;;;4.10E+01;4.3758E-07;1.5298E-10
6.00E+04;1.00E+00;3.84E-07;4.00E+01;-1.54E-10;;;4.00E+01;3.8358E-07;1.5355E-10
6.05E+04;1.00E+00;3.37E-07;3.90E+01;-1.63E-10;;;3.90E+01;3.3717E-07;1.6278E-10
6.10E+04;1.00E+00;2.94E-07;3.80E+01;-1.48E-10;;;3.80E+01;2.9356E-07;1.4847E-10
6.15E+04;1.00E+00;2.52E-07;3.70E+01;-1.22E-09;;;3.70E+01;2.5201E-07;1.2183E-09
6.20E+04;1.00E+00;2.16E-07;3.60E+01;-1.80E-10;;;3.60E+01;2.155E-07;1.8044E-10
6.25E+04;1.00E+00;1.82E-07;3.50E+01;-1.76E-10;;;3.50E+01;1.8227E-07;1.763E-10
6.30E+04;1.00E+00;1.51E-07;3.40E+01;-1.83E-10;;;3.40E+01;1.507E-07;1.833E-10
6.35E+04;1.00E+00;1.24E-07;3.30E+01;-1.97E-10;;;3.30E+01;1.2351E-07;1.9728E-10
6.40E+04;1.00E+00;9.89E-08;3.20E+01;-2.87E-10;;;3.20E+01;9.8897E-08;2.8742E-10
6.45E+04;1.00E+00;7.77E-08;3.10E+01;-7.80E-10;;;3.10E+01;7.7698E-08;7.7969E-10
6.50E+04;1.00E+00;5.96E-08;3.00E+01;-4.32E-10;;;3.00E+01;5.9566E-08;4.3164E-10
6.55E+04;1.00E+00;4.41E-08;2.90E+01;-3.26E-10;;;2.90E+01;4.4064E-08;3.2601E-10
6.60E+04;1.00E+00;3.15E-08;2.80E+01;-2.69E-10;;;2.80E+01;3.1457E-08;2.6941E-10
6.65E+04;1.00E+00;2.20E-08;2.70E+01;-2.45E-10;;;2.70E+01;2.1971E-08;2.4508E-10
6.70E+04;1.00E+00;1.51E-08;2.60E+01;-2.24E-10;;;2.60E+01;1.5096E-08;2.2435E-10
6.75E+04;1.00E+00;1.00E-08;2.50E+01;-2.19E-10;;;2.50E+01;1.0035E-08;2.186E-10
6.80E+04;1.00E+00;6.64E-09;2.40E+01;-2.08E-10;;;2.40E+01;6.6432E-09;2.0783E-10
6.85E+04;1.00E+00;4.36E-09;2.30E+01;-2.08E-10;;;2.30E+01;4.362E-09;2.0766E-10
6.90E+04;1.00E+00;2.73E-09;2.20E+01;-2.07E-10;;;2.20E+01;2.73E-09;2.0679E-10
6.95E+04;1.00E+00;1.65E-09;2.10E+01;-2.10E-10;;;2.10E+01;1.6476E-09;2.1041E-10
7.00E+04;1.00E+00;9.61E-10;2.00E+01;-2.16E-10;;;2.00E+01;9.6066E-10;2.1625E-10
7.05E+04;1.00E+00;5.42E-10;1.90E+01;-2.28E-10;;;1.90E+01;5.4193E-10;2.2807E-10
7.10E+04;1.00E+00;2.93E-10;1.80E+01;-2.44E-10;;;1.80E+01;2.9265E-10;2.4361E-10
7.15E+04;1.00E+00;1.63E-10;1.70E+01;-2.60E-10;;;1.70E+01;1.632E-10;2.5993E-10
7.20E+04;1.00E+00;1.16E-10;1.60E+01;-2.79E-10;;;1.60E+01;1.1645E-10;2.787E-10
7.25E+04;1.00E+00;1.12E-10;1.50E+01;-3.04E-10;;;1.50E+01;1.115E-10;3.0412E-10
7.30E+04;1.00E+00;1.23E-10;1.40E+01;-3.31E-10;;;1.40E+01;1.2339E-10;3.3053E-10
7.35E+04;1.00E+00;1.36E-10;1.30E+01;-3.57E-10;;;1.30E+01;1.3615E-10;3.5719E-10
7.40E+04;1.00E+00;1.50E-10;1.20E+01;-3.66E-10;;;1.20E+01;1.5042E-10;3.6561E-10
7.45E+04;1.00E+00;1.67E-10;1.10E+01;-3.71E-10;;;1.10E+01;1.6724E-10;3.7062E-10
7.50E+04;1.00E+00;1.70E-10;1.00E+01;-3.70E-10;;;1.00E+01;1.6963E-10;3.703E-10
7.55E+04;1.00E+00;1.70E-10;9.00E+00;-3.78E-10;;;9.00E+00;1.7008E-10;3.7817E-10
7.60E+04;1.00E+00;1.58E-10;8.00E+00;-3.63E-10;;;8.00E+00;1.5775E-10;3.6295E-10
7.65E+04;1.00E+00;2.06E-10;7.00E+00;-8.81E-10;;;7.00E+00;2.0602E-10;8.8114E-10
7.70E+04;1.00E+00;1.80E-10;6.00E+00;-3.94E-10;;;6.00E+00;1.8039E-10;3.9369E-10
7.75E+04;1.00E+00;1.82E-10;5.00E+00;-3.76E-10;;;5.00E+00;1.8161E-10;3.7587E-10
7.80E+04;1.00E+00;1.88E-10;4.00E+00;-3.91E-10;;;4.00E+00;1.8805E-10;3.9146E-10
7.85E+04;1.00E+00;1.91E-10;3.00E+00;-3.95E-10;;;3.00E+00;1.9129E-10;3.9468E-10
