File Name: 17_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;12:26:48;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
4.95E+04;1.00E+00;7.94E-07;4.00E+01;2.00E-10;;;4.00E+01;7.939E-07;1.9952E-10
5.00E+04;1.00E+00;8.53E-07;4.10E+01;2.01E-10;;;4.10E+01;8.5269E-07;2.0097E-10
5.05E+04;1.00E+00;9.34E-07;4.20E+01;2.01E-10;;;4.20E+01;9.3414E-07;2.0078E-10
5.10E+04;1.00E+00;1.00E-06;4.30E+01;2.02E-10;;;4.30E+01;1.0016E-06;2.015E-10
5.15E+04;1.00E+00;1.08E-06;4.40E+01;3.25E-10;;;4.40E+01;1.0769E-06;3.2485E-10
5.20E+04;1.00E+00;1.15E-06;4.50E+01;2.04E-10;;;4.50E+01;1.1528E-06;2.0432E-10
5.25E+04;1.00E+00;1.23E-06;4.60E+01;2.06E-10;;;4.60E+01;0.000001226;2.0628E-10
5.30E+04;1.00E+00;1.30E-06;4.70E+01;2.10E-10;;;4.70E+01;1.2993E-06;2.0959E-10
5.35E+04;1.00E+00;1.38E-06;4.80E+01;2.16E-10;;;4.80E+01;1.3835E-06;2.156E-10
5.40E+04;1.00E+00;1.47E-06;4.90E+01;2.23E-10;;;4.90E+01;1.4676E-06;2.2322E-10
5.45E+04;1.00E+00;1.56E-06;5.00E+01;2.24E-10;;;5.00E+01;1.5584E-06;2.2403E-10
5.50E+04;1.00E+00;1.65E-06;5.10E+01;2.25E-10;;;5.10E+01;1.6545E-06;2.2498E-10
5.55E+04;1.00E+00;1.53E-06;5.00E+01;-4.46E-11;;;5.00E+01;1.5348E-06;4.4609E-11
5.60E+04;1.00E+00;1.42E-06;4.90E+01;-7.08E-11;;;4.90E+01;1.4223E-06;7.0826E-11
