#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
14.5;3.64E-10;23.939595;1;2.45E-05;23.939595;;;0.004949747
14.9999;4.03E-10;24.089499;1;2.49E-05;24.089499;;;0.00498999
15.5;4.21E-10;24.239415;1;2.52E-05;24.239415;;;0.00501996
15.9999;4.44E-10;24.389266;1;2.55E-05;24.389266;;;0.005049752
16.5;4.72E-10;24.539071;1;2.58E-05;24.539071;;;0.00507937
16.9999;4.60E-10;24.689035;1;2.62E-05;24.689035;;;0.005118594
17.5;4.87E-10;24.838912;1;2.65E-05;24.838912;;;0.005147815
17.9999;4.84E-10;24.988775;1;2.68E-05;24.988775;;;0.005176872
18.4999;4.65E-10;25.138733;1;2.72E-05;25.138733;;;0.005215362
19;4.79E-10;25.288508;1;2.75E-05;25.288508;;;0.005244044
19.4999;4.93E-10;25.471171;1;2.78E-05;25.471171;;;0.005272571
20;4.63E-10;25.621045;1;2.82E-05;25.621045;;;0.005310367
20.5;4.59E-10;25.770877;1;2.85E-05;25.770877;;;0.005338539
20.9999;4.76E-10;25.956238;1;2.88E-05;25.956238;;;0.005366563
21.5;4.84E-10;26.10626;1;2.91E-05;26.10626;;;0.005394442
22;5.08E-10;26.256262;1;2.95E-05;26.256262;;;0.00543139
22.5;5.45E-10;26.406282;1;2.98E-05;26.406282;;;0.005458938
22.9999;5.49E-10;26.576479;1;3.01E-05;26.576479;;;0.005486347
23.4999;5.51E-10;26.726567;1;3.05E-05;26.726567;;;0.005522681
23.9999;5.59E-10;26.876556;1;3.08E-05;26.876556;;;0.005549775
24.5;5.84E-10;27.026488;1;3.11E-05;27.026488;;;0.005576737
25;6.13E-10;27.178409;1;3.15E-05;27.178409;;;0.005612486
25.4999;6.67E-10;27.328352;1;3.18E-05;27.328352;;;0.005639149
25.9999;6.57E-10;27.48835;1;3.21E-05;27.48835;;;0.005665686
26.4999;6.51E-10;27.638509;1;3.24E-05;27.638509;;;0.0056921
