#scan;iMeasureCycle=1;iMux=0;time=0.13;N=482;LocalTime=27/10/2023 16:04:47;;;;;;|IDrain|, |IGate| (A);;;ON/OFF
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2);;;;;;2420000000
-21.5001;-4.46E-11;14.170093;1;1.84E-10;14.170093;;;1.36E-05;;;1.84E-10;4.46E-11;;
-21.0001;-3.61E-11;14.346165;0.999999;2.59E-10;14.346165;;;1.61E-05;;;2.59E-10;3.61E-11;;
-20.5;-2.64E-11;14.533681;1.000001;3.53E-10;14.533681;;;1.88E-05;;;3.53E-10;2.64E-11;;
-20.0001;-2.31E-11;14.709723;0.999999;5.01E-10;14.709723;;;2.24E-05;;;5.01E-10;2.31E-11;;
-19.5001;-1.60E-11;14.916588;1.000001;6.43E-10;14.916588;;;2.54E-05;;;6.43E-10;1.60E-11;;
-19;-6.43E-12;15.092803;0.999999;9.23E-10;15.092803;;;3.04E-05;;;9.23E-10;6.43E-12;;
-18.5;-2.34E-12;15.268939;0.999999;1.29E-09;15.268939;;;3.59E-05;;;1.29E-09;2.34E-12;;
-18.0001;1.10E-11;15.446228;1.000001;1.78E-09;15.446228;;;4.22E-05;;;1.78E-09;1.10E-11;;
-17.5001;7.59E-12;15.622509;1;2.48E-09;15.622509;;;4.98E-05;;;2.48E-09;7.59E-12;;
-17;1.59E-11;15.798509;0.999999;3.36E-09;15.798509;;;5.80E-05;;;3.36E-09;1.59E-11;;
-16.5;2.46E-11;15.974705;1;4.47E-09;15.974705;;;6.69E-05;;;4.47E-09;2.46E-11;;
-16.0001;2.83E-11;16.150771;1.000001;5.87E-09;16.150771;;;7.66E-05;;;5.87E-09;2.83E-11;;
-15.5001;3.52E-11;16.326833;1.000001;7.68E-09;16.326833;;;8.76E-05;;;7.68E-09;3.52E-11;;
-15;3.25E-11;16.497018;1;1.02E-08;16.497018;;;0.000100995;;;1.02E-08;3.25E-11;;
-14.5;4.73E-11;16.646999;1;1.33E-08;16.646999;;;0.000115326;;;1.33E-08;4.73E-11;;
-14;5.46E-11;16.796917;1.000001;1.71E-08;16.796917;;;0.000130767;;;1.71E-08;5.46E-11;;
-13.5;6.40E-11;16.947084;1;2.18E-08;16.947084;;;0.000147648;;;2.18E-08;6.40E-11;;
-13.0001;7.14E-11;17.096987;1.000001;2.76E-08;17.096987;;;0.000166132;;;2.76E-08;7.14E-11;;
-12.5;8.11E-11;17.246799;1.000001;3.44E-08;17.246799;;;0.000185472;;;3.44E-08;8.11E-11;;
-12;7.96E-11;17.425474;1;4.13E-08;17.425474;;;0.000203224;;;4.13E-08;7.96E-11;;
-11.5;8.50E-11;17.575395;1.000003;5.06E-08;17.575395;;;0.000224944;;;5.06E-08;8.50E-11;;
-11;9.36E-11;17.725253;1.000002;6.13E-08;17.725253;;;0.000247588;;;6.13E-08;9.36E-11;;
-10.5;8.96E-11;17.904992;1.000004;7.24E-08;17.904992;;;0.000269072;;;7.24E-08;8.96E-11;;
-10.0001;1.06E-10;18.054847;1.000006;8.62E-08;18.054847;;;0.000293598;;;8.62E-08;1.06E-10;;
-9.5001;1.10E-10;18.210545;1;1.02E-07;18.210545;;;0.000319374;;;0.000000102;1.10E-10;;
-9;1.20E-10;18.360385;1;1.19E-07;18.360385;;;0.000344964;;;0.000000119;1.20E-10;;
-8.5001;1.28E-10;18.518304;1;1.39E-07;18.518304;;;0.000372827;;;0.000000139;1.28E-10;;
-8.0001;1.31E-10;18.668101;1;1.61E-07;18.668101;;;0.000401248;;;0.000000161;1.31E-10;;
-7.5;1.37E-10;18.818013;1;1.85E-07;18.818013;;;0.000430116;;;0.000000185;1.37E-10;;
-7.0001;1.44E-10;18.96792;1;2.11E-07;18.96792;;;0.000459347;;;0.000000211;1.44E-10;;
-6.5;1.52E-10;19.117894;1;2.38E-07;19.117894;;;0.000487852;;;0.000000238;1.52E-10;;
-6;1.55E-10;19.267724;1;2.68E-07;19.267724;;;0.000517687;;;0.000000268;1.55E-10;;
-5.5;1.56E-10;19.430589;1;2.98E-07;19.430589;;;0.000545894;;;0.000000298;1.56E-10;;
-5;1.68E-10;19.580473;1;3.35E-07;19.580473;;;0.000578792;;;0.000000335;1.68E-10;;
-4.5001;1.73E-10;19.730331;1;3.73E-07;19.730331;;;0.000610737;;;0.000000373;1.73E-10;;
-4.0001;1.81E-10;19.905749;1;4.11E-07;19.905749;;;0.000641093;;;0.000000411;1.81E-10;;
-3.5001;1.81E-10;20.055696;1;4.53E-07;20.055696;;;0.000673053;;;0.000000453;1.81E-10;;
-3;1.91E-10;20.205517;1;4.99E-07;20.205517;;;0.000706399;;;0.000000499;1.91E-10;;
-2.5001;1.95E-10;20.355379;1;5.42E-07;20.355379;;;0.000736206;;;0.000000542;1.95E-10;;
-2;2.01E-10;20.523329;1;5.96E-07;20.523329;;;0.00077201;;;0.000000596;2.01E-10;;
-1.5001;2.03E-10;20.673117;1;6.46E-07;20.673117;;;0.000803741;;;0.000000646;2.03E-10;;
-1;2.12E-10;20.822947;1;6.99E-07;20.822947;;;0.000836062;;;0.000000699;2.12E-10;;
-0.5001;2.28E-10;20.972868;1;7.53E-07;20.972868;;;0.000867756;;;0.000000753;2.28E-10;;
-0.0001;2.21E-10;21.122826;1.000001;8.09E-07;21.122826;;;0.000899444;;;0.000000809;2.21E-10;;
0.4999;2.27E-10;21.272595;1;8.67E-07;21.272595;;;0.000931128;;;0.000000867;2.27E-10;;
1;2.37E-10;21.435972;0.999999;9.30E-07;21.435972;;;0.000964365;;;0.00000093;2.37E-10;;
1.4999;2.37E-10;21.585797;1;9.93E-07;21.585797;;;0.000996494;;;0.000000993;2.37E-10;;
2;2.52E-10;21.738926;1;1.06E-06;21.738926;;;0.001029563;;;0.00000106;2.52E-10;;
2.5;2.47E-10;21.911387;1;1.12E-06;21.911387;;;0.001058301;;;0.00000112;2.47E-10;;
3;2.58E-10;22.061292;1;1.20E-06;22.061292;;;0.001095445;;;0.0000012;2.58E-10;;
3.5;2.63E-10;22.211077;1;1.28E-06;22.211077;;;0.001131371;;;0.00000128;2.63E-10;;
4;2.66E-10;22.360913;1;1.35E-06;22.360913;;;0.001161895;;;0.00000135;2.66E-10;;
4.4999;2.77E-10;22.528415;1;1.43E-06;22.528415;;;0.001195826;;;0.00000143;2.77E-10;;
4.9999;2.87E-10;22.678298;1;1.49E-06;22.678298;;;0.001220656;;;0.00000149;2.87E-10;;
5.5;2.89E-10;22.828114;1;1.58E-06;22.828114;;;0.001256981;;;0.00000158;2.89E-10;;
6;3.03E-10;22.978006;1;1.67E-06;22.978006;;;0.001292285;;;0.00000167;3.03E-10;;
6.4999;3.12E-10;23.13029;1;1.74E-06;23.13029;;;0.001319091;;;0.00000174;3.12E-10;;
