#scan;iMeasureCycle=1;iMux=0;time=0.146;N=482;LocalTime=31/10/2023 12:19:24;;;;;;|IDrain|, |IGate| (A);;;ON/OFF;;IDrain_max;1.70E-06
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2);;;;;;;;IDrain_off_avg;4.27E-10
-6;4.68E-10;19.74004;1;8.76E-09;19.74004;;;9.36E-05;;;8.76E-09;4.68E-10;;;;;
-5.5001;4.28E-10;19.943177;1;9.76E-09;19.943177;;;9.88E-05;;;9.76E-09;4.28E-10;;;;;
-5.0001;5.23E-10;20.09309;1;1.13E-08;20.09309;;;0.000106301;;;1.13E-08;5.23E-10;;;;;
-4.5;5.51E-10;20.242991;1.000001;1.33E-08;20.242991;;;0.000115326;;;1.33E-08;5.51E-10;;;;;
-4;4.81E-10;20.428131;1;1.50E-08;20.428131;;;0.000122474;;;0.000000015;4.81E-10;;;;;
-3.5001;5.38E-10;20.578087;1.000001;1.68E-08;20.578087;;;0.000129615;;;1.68E-08;5.38E-10;;;;;
-3.0001;5.58E-10;20.727902;1;1.94E-08;20.727902;;;0.000139284;;;1.94E-08;5.58E-10;;;;;
-2.5001;5.68E-10;20.877735;0.999999;2.12E-08;20.877735;;;0.000145602;;;2.12E-08;5.68E-10;;;;;
-2.0001;5.67E-10;21.041835;1.000001;2.29E-08;21.041835;;;0.000151327;;;2.29E-08;5.67E-10;;;;;
-1.5;5.86E-10;21.191599;1.000005;2.49E-08;21.191599;;;0.000157797;;;2.49E-08;5.86E-10;;;;;
-1.0001;5.91E-10;21.34155;0.999999;2.73E-08;21.34155;;;0.000165227;;;2.73E-08;5.91E-10;;;;;
-0.5001;5.90E-10;21.491546;0.999999;2.94E-08;21.491546;;;0.000171464;;;2.94E-08;5.90E-10;;;;;
-0.0001;5.95E-10;21.641768;0.999999;3.27E-08;21.641768;;;0.000180831;;;3.27E-08;5.95E-10;;;;;
0.4999;6.03E-10;21.79158;1.000001;3.54E-08;21.79158;;;0.000188149;;;3.54E-08;6.03E-10;;;;;
0.9999;5.68E-10;21.95609;1;3.72E-08;21.95609;;;0.000192873;;;3.72E-08;5.68E-10;;;;;
1.5;5.97E-10;22.106033;1.000002;4.06E-08;22.106033;;;0.000201494;;;4.06E-08;5.97E-10;;;;;
2;6.10E-10;22.255999;0.999999;4.35E-08;22.255999;;;0.000208567;;;4.35E-08;6.10E-10;;;;;
2.4999;5.54E-10;22.43169;0.999999;4.61E-08;22.43169;;;0.000214709;;;4.61E-08;5.54E-10;;;;;
2.9999;5.98E-10;22.581547;1;4.98E-08;22.581547;;;0.000223159;;;4.98E-08;5.98E-10;;;;;
3.4999;6.16E-10;22.731396;1.000002;5.37E-08;22.731396;;;0.000231733;;;5.37E-08;6.16E-10;;;;;
4;6.28E-10;22.881214;1.000001;5.80E-08;22.881214;;;0.000240832;;;0.000000058;6.28E-10;;;;;
4.5;6.20E-10;23.047006;1.000008;6.06E-08;23.047006;;;0.000246171;;;6.06E-08;6.20E-10;;;;;
5;6.31E-10;23.196817;1.000003;6.53E-08;23.196817;;;0.000255539;;;6.53E-08;6.31E-10;;;;;
