#scan;iMeasureCycle=1;iMux=0;time=0.129;N=210;LocalTime=20/12/2023 12:02:21;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;VDrain (V);|IDrain| (A)
-2.5;-3.40E-09;25.594282;-6.5;-1.19E-05;25.594282;;;;-6.5;1.19017E-05
-2.50001;-3.40E-09;25.744149;-6;-1.19E-05;25.744149;;;;-6;1.18758E-05
-2.5;-3.43E-09;25.919386;-5.5;-1.18E-05;25.919386;;;;-5.5;1.18446E-05
-2.50001;-3.46E-09;26.069225;-5;-1.18E-05;26.069225;;;;-5;1.18098E-05
-2.5;-3.48E-09;26.218975;-4.5;-1.18E-05;26.218975;;;;-4.5;1.17631E-05
-2.50001;-3.44E-09;26.369004;-4;-1.17E-05;26.369004;;;;-4;1.16996E-05
-2.50001;-3.41E-09;26.534476;-3.5;-1.16E-05;26.534476;;;;-3.5;1.15886E-05
-2.50001;-3.59E-09;26.684318;-3;-1.13E-05;26.684318;;;;-3;1.13305E-05
-2.5;-3.69E-09;26.834275;-2.5;-1.07E-05;26.834275;;;;-2.5;1.06988E-05
-2.50001;-4.19E-09;26.984117;-2;-9.56E-06;26.984117;;;;-2;9.5626E-06
-2.50001;-4.71E-09;27.136678;-1.5;-7.90E-06;27.136678;;;;-1.5;7.89891E-06
-2.50001;-5.37E-09;27.286536;-1;-5.72E-06;27.286536;;;;-1;5.72467E-06
-2.50001;-6.12E-09;27.449644;-0.5;-3.03E-06;27.449644;;;;-0.5;3.03274E-06
-2.50001;-7.08E-09;27.622594;-1.00E-05;8.25E-09;27.622594;;;;-1.00E-05;8.25153E-09
-5;-2.47E-08;27.7867;-1.00E-05;1.65E-08;27.7867;;;;-1.00E-05;1.64947E-08
-4.99999;-2.23E-08;27.950441;-0.5;-4.20E-06;27.950441;;;;-0.5;4.20496E-06
-5;-2.03E-08;28.094367;-1;-8.37E-06;28.094367;;;;-1;8.37112E-06
-4.99999;-1.86E-08;28.241635;-1.5;-1.22E-05;28.241635;;;;-1.5;1.21951E-05
-5;-1.66E-08;28.410334;-2;-1.56E-05;28.410334;;;;-2;1.56079E-05
-5;-1.59E-08;28.554289;-2.5;-1.86E-05;28.554289;;;;-2.5;1.86041E-05
-4.99999;-1.43E-08;28.698173;-3;-2.12E-05;28.698173;;;;-3;2.11991E-05
-5;-1.40E-08;28.842094;-3.5;-2.34E-05;28.842094;;;;-3.5;0.000023394
-5;-1.26E-08;28.985963;-4;-2.52E-05;28.985963;;;;-4;2.51934E-05
-5;-1.27E-08;29.129935;-4.5;-2.66E-05;29.129935;;;;-4.5;2.65904E-05
-5;-1.21E-08;29.273788;-5;-2.76E-05;29.273788;;;;-5;2.75832E-05
-5;-1.20E-08;29.444013;-5.5;-2.82E-05;29.444013;;;;-5.5;2.82017E-05
-5;-1.18E-08;29.587953;-6;-2.85E-05;29.587953;;;;-6;2.85193E-05
-5;-1.18E-08;29.731914;-6.5;-2.87E-05;29.731914;;;;-6.5;2.86875E-05
